chain,n,different_weights,beta_max,epsilon,algorithm,sample_complexity,TPAsteps,true_Q,estimate_Q,error
logical,3,7,0.1,0.075,parallelGibbs,141838,81780,1.379741516891444,1.37892189462733,-0.0005940404445903269
logical,3,7,0.1,0.05,Kolmogorov,5270577,73581,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs,296704,81456,1.379741516891444,1.3807076088191228,0.0007001977659231162
logical,3,7,0.1,0.04,Kolmogorov,14279437,85933,1.379741516891444,,
logical,3,7,0.1,0.04,parallelGibbs,343051,83774,1.379741516891444,1.3801584946622265,0.0003022144116688885
logical,3,7,0.1,0.025,Kolmogorov,29736679,86791,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs,553680,86237,1.379741516891444,1.3799337847596171,0.00013935064344972048
logical,3,7,0.1,0.01,Kolmogorov,193530165,102237,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs,1619294,95117,1.379741516891444,1.379526590705659,-0.00015577279015932533
logical,3,7,0.1,0.1,Kolmogorov,1706608,80368,1.379741516891444,,
logical,3,7,0.1,0.1,parallelGibbs,101556,71461,1.379741516891444,1.3842591132487725,0.0032742338343971777
logical,3,7,0.1,0.075,Kolmogorov,2899101,74435,1.379741516891444,,
logical,3,7,0.1,0.075,parallelGibbs,176099,76825,1.379741516891444,1.3798140620859378,5.257882987907969e-05
logical,3,7,0.1,0.05,Kolmogorov,4556305,75661,1.379741516891444,,
logical,3,7,0.1,0.05,parallelGibbs,417201,81635,1.379741516891444,1.379850023309364,7.864256934486669e-05
logical,3,7,0.1,0.04,Kolmogorov,9230332,86236,1.379741516891444,,
logical,3,7,0.1,0.04,parallelGibbs,347060,84313,1.379741516891444,1.3796677242215245,-5.3482966929752074e-05
logical,3,7,0.1,0.025,Kolmogorov,32849429,91085,1.379741516891444,,
logical,3,7,0.1,0.025,parallelGibbs,623494,94181,1.379741516891444,1.380305217320992,0.00040855509720261196
logical,3,7,0.1,0.01,Kolmogorov,190437957,95781,1.379741516891444,,
logical,3,7,0.1,0.01,parallelGibbs,1703460,90685,1.379741516891444,1.3794484887535485,-0.0002123790103494283
logical,3,7,0.1,0.025,Kolmogorov,25907943,57279,1.2687905022228143,,
logical,3,7,0.1,0.025,parallelGibbs,314684,59022,1.2687905022228143,1.2692479754094526,0.00036055848923588485
logical,3,7,0.1,0.025,Kolmogorov,24187645,90469,1.4209322574429528,,
logical,3,7,0.1,0.025,parallelGibbs,709795,93168,1.4209322574429528,1.4206637095210304,-0.00018899417654549833
logical,3,7,0.1,0.025,Kolmogorov,27277061,84713,1.3533984180557754,,
logical,3,7,0.1,0.025,parallelGibbs,501308,74244,1.3533984180557754,1.3531211715037172,-0.00020485213249799017
logical,3,7,0.1,0.025,Kolmogorov,18395935,77299,1.3401825921012376,,
logical,3,7,0.1,0.025,parallelGibbs,424205,71127,1.3401825921012376,1.3406238941572897,0.00032928502328943843
logical,3,7,0.1,0.025,Kolmogorov,34150827,77367,1.3533645485998402,,
logical,3,7,0.1,0.025,parallelGibbs,537322,81901,1.3533645485998402,1.354194504391351,0.0006132536812564204
logical,3,7,0.1,0.025,Kolmogorov,20211339,59511,1.2813413941035332,,
logical,3,7,0.1,0.025,parallelGibbs,312425,58338,1.2813413941035332,1.2816684895121837,0.0002552757681564266
logical,3,7,0.1,0.025,Kolmogorov,26618206,90058,1.3729405074172014,,
logical,3,7,0.1,0.025,parallelGibbs,602502,78961,1.3729405074172014,1.372803841700302,-9.95423444506427e-05
logical,3,6,0.1,0.025,Kolmogorov,36514189,102745,1.4414067098066186,,
logical,3,6,0.1,0.025,parallelGibbs,763588,107687,1.4414067098066186,1.4409112412006868,-0.00034373962779610245
logical,3,6,0.1,0.025,Kolmogorov,16047229,53293,1.2687816954827704,,
logical,3,6,0.1,0.025,parallelGibbs,380594,57118,1.2687816954827704,1.268436779536808,-0.00027184814156011594
logical,3,6,0.1,0.025,Kolmogorov,18794228,77072,1.3392654764480192,,
logical,3,6,0.1,0.025,parallelGibbs,476768,76428,1.3392654764480192,1.3390898501330688,-0.0001311362967528762
logical,3,7,0.1,0.025,Kolmogorov,28126469,70661,1.3001283971112583,,
logical,3,7,0.1,0.025,parallelGibbs,309725,64127,1.3001283971112583,1.299222614881583,-0.0006966867516221553
logical,3,7,0.1,0.025,Kolmogorov,17256964,80752,1.351821668688765,,
logical,3,7,0.1,0.025,parallelGibbs,568125,77344,1.351821668688765,1.3517772316355103,-3.2871978814852376e-05
logical,3,7,0.1,0.025,Kolmogorov,17113217,43277,1.2262388418333268,,
logical,3,7,0.1,0.025,parallelGibbs,150596,46374,1.2262388418333268,1.225848950863446,-0.0003179567932278804
logical,3,7,0.1,0.025,Kolmogorov,31653552,77484,1.3330499288728772,,
